scenario,phase,raw_messages,after_C2,after_C3,after_SAFE,C2_reduction_percent,C3_reduction_percent,SAFE_reduction_percent,priority_score
S4_walking_real,,0,0,0,0,0.0,0.0,0.0,0.0
S2_slow_approach,C3,3327,85,0,24,97.45,100.0,0.0,0.723
S4_walking_real,C2,1977,312,0,0,84.22,100.0,0.0,0.0
S2_slow_approach,C1,0,0,0,0,0.0,0.0,0.0,0.0
S4_walking_real,C3,1977,312,0,38,84.22,100.0,0.0,0.626
S1_static,C1,0,0,0,0,0.0,0.0,0.0,0.0
S4_walking_real_stabilized,C3,1977,312,0,38,84.22,100.0,0.0,0.626
S3_multi_person,C3,5611,233,0,91,95.85,100.0,0.0,0.673
S2_slow_approach,C2,3327,85,0,0,97.45,100.0,0.0,0.0
S3_multi_person,C2,5611,234,0,0,95.83,100.0,0.0,0.0
S4_walking_real,,1397,162,0,35,88.4,100.0,0.0,0.701
S1_static,C2,1775,20,0,0,98.87,100.0,0.0,0.0
S3_multi_person,C2,5611,233,0,0,95.85,100.0,0.0,0.0
S1_static,C3,1775,19,0,15,98.93,100.0,0.0,0.786
S4_walking_real_stabilized,C3,1977,312,0,38,84.22,100.0,0.0,0.626
S3_multi_person_C2_validation,C2,5611,233,0,0,95.85,100.0,0.0,0.0
S1_static,C2,1775,20,0,0,98.87,100.0,0.0,0.0
S4_walking_real,C2,1977,312,0,0,84.22,100.0,0.0,0.0
S2_slow_approach,C3,3327,85,0,24,97.45,100.0,0.0,0.722
S4_walking_real_safe_true,C3,1977,312,38,10,84.22,87.82,73.68,0.614
S3_multi_person_C2_validation,C2,5611,234,0,0,95.83,100.0,0.0,0.0
S4_walking_real,,0,0,0,0,0.0,0.0,0.0,0.0
S3_multi_person,C1,0,0,0,0,0.0,0.0,0.0,0.0
S3_multi_person,C3,5611,233,0,91,95.85,100.0,0.0,0.673
S4_walking_real,,0,0,0,0,0.0,0.0,0.0,0.0
S3_multi_person,C2,5611,232,0,0,95.87,100.0,0.0,0.0
S4_walking_real,C1,0,0,0,0,0.0,0.0,0.0,0.0
S4_walking_real,C3,1977,312,0,38,84.22,100.0,0.0,0.626
S4_walking_real,C3,1977,312,0,38,84.22,100.0,0.0,0.626
S3_multi_person,C1,0,0,0,0,0.0,0.0,0.0,0.0
S2_slow_approach,C1,0,0,0,0,0.0,0.0,0.0,0.0
S4_walking_real,,0,0,0,0,0.0,0.0,0.0,0.0
S4_walking_real_C2_validation,C2,1977,312,0,0,84.22,100.0,0.0,0.0
S4_walking_real,,0,0,0,0,0.0,0.0,0.0,0.0
S4_walking_real_safe_v2,C3,1977,312,0,38,84.22,100.0,0.0,0.626
S4_walking_real,,1977,312,0,38,84.22,100.0,0.0,0.626
S3_multi_person,,5185,158,0,81,96.95,100.0,0.0,0.711
S3_multi_person,C3,5611,233,0,91,95.85,100.0,0.0,0.673
S4_walking_real,C2,1977,312,0,0,84.22,100.0,0.0,0.0
S2_slow_approach,C3,3327,85,0,24,97.45,100.0,0.0,0.723
S4_walking_real,,0,0,0,0,0.0,0.0,0.0,0.0
S2_slow_approach,C2,3327,85,0,0,97.45,100.0,0.0,0.0
S1_static,C1,0,0,0,0,0.0,0.0,0.0,0.0
S4_walking_real,C1,0,0,0,0,0.0,0.0,0.0,0.0
S3_multi_person,,5611,233,0,91,95.85,100.0,0.0,0.673
,,1775,0,0,16,100.0,0.0,0.0,0.0
S1_static,C3,1775,19,0,15,98.93,100.0,0.0,0.786
S2_slow_approach,C2,3327,85,0,0,97.45,100.0,0.0,0.0
S4_walking_real_C2_validation,C2,1977,312,0,0,84.22,100.0,0.0,0.0
S1_static,C3,1775,19,0,15,98.93,100.0,0.0,0.786
