phase,scenario,run_id,frames,mean_fps,mean_latency_ms,mean_cpu_percent,total_detections,raw_messages,filtered_messages,decision_messages,mean_priority_score
C3,S2_slow_approach,2.0,1732,11.95,83.74,58.26,3327.0,3327,85.0,24,0.723
C2,S4_walking_real,2.0,1745,11.8,84.79,58.59,1977.0,1977,312.0,0,0.0
C1,S2_slow_approach,2.0,1732,11.95,83.72,58.64,3327.0,0,0.0,0,0.0
C3,S4_walking_real,2.0,1745,11.98,83.49,58.35,1977.0,1977,312.0,38,0.626
C1,S1_static,1.0,1767,11.74,85.29,58.41,1775.0,0,0.0,0,0.0
C3,S3_multi_person,3.0,1749,11.91,84.0,58.29,5611.0,5611,233.0,91,0.673
C2,S2_slow_approach,3.0,1732,11.85,84.4,58.37,3327.0,3327,85.0,0,0.0
C2,S3_multi_person,1.0,1749,11.76,85.08,58.31,5611.0,5611,234.0,0,0.0
C2,S1_static,2.0,1767,11.87,84.26,58.4,1775.0,1775,20.0,0,0.0
C2,S3_multi_person,3.0,1749,11.96,83.67,58.47,5611.0,5611,233.0,0,0.0
C3,S1_static,2.0,1767,12.01,83.28,58.49,1775.0,1775,19.0,15,0.786
C2,S1_static,1.0,1767,11.83,84.73,58.43,1775.0,1775,20.0,0,0.0
C2,S4_walking_real,1.0,1745,11.9,84.1,58.41,1977.0,1977,312.0,0,0.0
C3,S2_slow_approach,3.0,1732,11.81,84.67,58.38,3327.0,3327,85.0,24,0.722
C1,S3_multi_person,2.0,1749,11.79,84.84,58.39,5611.0,0,0.0,0,0.0
C3,S3_multi_person,2.0,1749,11.89,84.13,58.34,5611.0,5611,233.0,91,0.673
C2,S3_multi_person,2.0,1749,11.96,83.67,58.43,5611.0,5611,232.0,0,0.0
C1,S4_walking_real,1.0,1745,12.01,83.33,58.58,1977.0,0,0.0,0,0.0
C3,S4_walking_real,3.0,1745,11.94,83.8,58.47,1977.0,1977,312.0,38,0.626
C3,S4_walking_real,1.0,1745,11.98,83.5,58.42,1977.0,1977,312.0,38,0.626
C1,S3_multi_person,1.0,1749,11.8,84.76,58.28,5611.0,0,0.0,0,0.0
C1,S2_slow_approach,1.0,1732,11.79,84.87,58.44,3327.0,0,0.0,0,0.0
C3,S3_multi_person,1.0,1749,11.83,84.56,58.3,5611.0,5611,233.0,91,0.673
C2,S4_walking_real,3.0,1745,12.0,83.37,58.51,1977.0,1977,312.0,0,0.0
C3,S2_slow_approach,1.0,1732,11.99,83.43,58.61,3327.0,3327,85.0,24,0.723
C2,S2_slow_approach,2.0,1732,11.97,83.55,58.38,3327.0,3327,85.0,0,0.0
C1,S1_static,2.0,1767,11.96,83.66,58.35,1775.0,0,0.0,0,0.0
C1,S4_walking_real,2.0,1745,11.81,84.74,58.45,1977.0,0,0.0,0,0.0
,,,1767,11.61,85.37,,,1775,,16,
C3,S1_static,1.0,1767,11.98,83.47,58.48,1775.0,1775,19.0,15,0.786
C2,S2_slow_approach,1.0,1732,11.92,83.94,58.44,3327.0,3327,85.0,0,0.0
C3,S1_static,3.0,1767,11.94,83.77,58.47,1775.0,1775,19.0,15,0.786
